Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Misleading log message in endorser.go,FAB-2455,15018,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,jyellick,jyellick,jyellick,23/Feb/17 11:18 PM,10/Mar/17 6:25 PM,26/Apr/18 6:50 AM,10/Mar/17 6:25 PM,,,,,,,,,,fabric-peer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00r5l:,,,,,,,,jyellick,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
readthedocs builds is failing after commit# 55219e3,FAB-2451,15014,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,23/Feb/17 7:58 PM,26/Feb/17 4:12 PM,26/Apr/18 6:50 AM,26/Feb/17 4:12 PM,,,,,,,,,,,,,,0,,,,,,,,,"Readthedocs build is failing after commit # 5219e3


{noformat}
ERROR   -  file not found: /home/docs/checkouts/readthedocs.org/user_builds/hyperledger-fabric/checkouts/latest/docs/FAQ/architecture_FAQ.md 
ERROR   -  Error building page FAQ/architecture_FAQ.md 
{noformat}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00r4p:,,,,,,,,rameshthoomu,,,,,,,,,,master,,,true,26/Feb/17 4:12 PM;rameshthoomu;RTD builds are working as expected now...,,,,,,,,,,,,,,,,,,,,,,,
Error on setup with docker,FAB-2442,15005,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,rameshthoomu,sodiaan,sodiaan,23/Feb/17 9:40 AM,23/Feb/17 10:00 PM,26/Apr/18 6:50 AM,23/Feb/17 10:00 PM,,,,,,,v1.0.0,,,,,,,0,,,,,,,,,"Here http://hyperledger-fabric.readthedocs.io/en/latest/asset_setup/
on step http://hyperledger-fabric.readthedocs.io/en/latest/asset_setup/#use-docker-to-spawn-network-entities-createjoin-a-channel
I got error ""ERROR: In file './docker-compose-gettingstarted.yml' service 'version' doesn't have any configuration options. All top level keys in your docker-compose.yml must map to a dictionary of configuration options.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00r2p:,,,,,,,,rameshthoomu,sodiaan,,,,,,,,,,,,,"23/Feb/17 2:14 PM;sodiaan;the docker-compose version is 1.5.2, this is the problem, I upgraded and now it works",23/Feb/17 2:14 PM;sodiaan;please add this information to documentation,"23/Feb/17 10:00 PM;rameshthoomu;[~sodiaan]: Steps are added in once of the fabric documentation. Sure will add these steps in fabric docs. Just to capture note: Version: '2' support in docker-compose 1.5.2 is not available.. Please follow below link to upgrade docker-compose

If you are running on ubuntu
{code:java}
curl -L ""https://github.com/docker/compose/releases/download/1.8.0/docker-compose-$(uname -s)-$(uname -m)"" > /usr/local/bin/docker-compose
chmod +x /usr/local/bin/docker-compose
docker-compose version
{code}

If you running on ""Power"" platform:

{code:java}
apt-get install docker.io
pip install docker-compose
{code}",,,,,,,,,,,,,,,,,,,,,
npm test breaks on fabric-sdk-node,FAB-2434,14997,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,jimthematrix,harsha544,harsha544,22/Feb/17 7:53 PM,08/Mar/17 5:11 AM,26/Apr/18 6:50 AM,08/Mar/17 5:11 AM,,,,,,,,,,fabric-sdk-node,,,,0,,,,,,,,,"*npm test* is failing because of missing *test/unit/headless-tests.js*
Ref :- https://github.com/hyperledger/fabric-sdk-node/blob/master/package.json#L10 ",,,,,,,,,,,,,,,,,,,,22/Feb/17 7:54 PM;harsha544;Error_Log;https://jira.hyperledger.org/secure/attachment/10529/Error_Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00r15:,,,,,,,,harsha544,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
Consider Identity.Serialize may return a different byte representation of marshalled identity ,FAB-2430,14993,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,ales,elli-androulaki,elli-androulaki,22/Feb/17 4:12 PM,12/May/17 4:45 PM,26/Apr/18 6:50 AM,18/Apr/17 12:47 PM,,,,,,,v1.0.0,,,fabric-crypto,,,,0,,,,,,,,,We would need to find a workaround there for uses of identity.Serialize that are used for identity comparison check. One such occurrence is the gossip getPKIidFromCertificate (another jira item) and another one is the satisfiesPolicy function inside msp/mspimpl.go. This work-item refers to the latter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2420,0|i00udj:,,Sprint 13 - Crypto,Sprint 14 - Crypto,Sprint 15 - Crypto,Sprint 16 - Crypto,,,elli-androulaki,,,,,,,,,,master,,,true,"06/Apr/17 7:05 PM;elli-androulaki;[~ales], isn't this already done? :)",,,,,,,,,,,,,,,,,,,,,,,
The server failed to respond with a valid HTTP response,FAB-2425,14988,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,smithbk,sodiaan,sodiaan,22/Feb/17 1:24 PM,18/Mar/17 3:53 PM,26/Apr/18 6:50 AM,18/Mar/17 3:53 PM,,,,,,,v1.0.0,,,fabric-sdk-java,,,,0,,,,,,,,,"Exception in thread ""main"" org.hyperledger.fabric.sdk.exception.EnrollmentException: Failed to enroll user admin 
        at org.hyperledger.fabric.sdk.MemberServicesFabricCAImpl.enroll(MemberServicesFabricCAImpl.java:312)
        at org.hyperledger.fabric.sdk.User.enroll(User.java:238)
        at org.hyperledger.fabric.sdk.Chain.enroll(Chain.java:560)
        at App.main(App.java:144)
Caused by: org.apache.http.client.ClientProtocolException
        at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:186)
        at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:82)
        at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:55)
        at org.hyperledger.fabric.sdk.MemberServicesFabricCAImpl.httpPost(MemberServicesFabricCAImpl.java:352)
        at org.hyperledger.fabric.sdk.MemberServicesFabricCAImpl.enroll(MemberServicesFabricCAImpl.java:283)
        ... 3 more
Caused by: org.apache.http.ProtocolException: The server failed to respond with a valid HTTP response
        at org.apache.http.impl.conn.DefaultHttpResponseParser.parseHead(DefaultHttpResponseParser.java:151)
        at org.apache.http.impl.conn.DefaultHttpResponseParser.parseHead(DefaultHttpResponseParser.java:57)
        at org.apache.http.impl.io.AbstractMessageParser.parse(AbstractMessageParser.java:261)
        at org.apache.http.impl.DefaultBHttpClientConnection.receiveResponseHeader(DefaultBHttpClientConnection.java:165)
        at org.apache.http.impl.conn.CPoolProxy.receiveResponseHeader(CPoolProxy.java:167)
        at org.apache.http.protocol.HttpRequestExecutor.doReceiveResponse(HttpRequestExecutor.java:272)
        at org.apache.http.protocol.HttpRequestExecutor.execute(HttpRequestExecutor.java:124)
        at org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:271)
        at org.apache.http.impl.execchain.ProtocolExec.execute(ProtocolExec.java:184)
        at org.apache.http.impl.execchain.RetryExec.execute(RetryExec.java:88)
        at org.apache.http.impl.execchain.RedirectExec.execute(RedirectExec.java:110)
        at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:184)

for code https://gist.github.com/anonymous/a744c24d82cc761f897355c146fdaffe

membersrvc_1 | 2017/02/22 13:21:25 transport: http2Server.HandleStreams received bogus greeting from client: ""POST /api/v1/cfssl/enrol""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00qzt:,,,,,,,,rickr,smithbk,sodiaan,,,,,,,,,,,,"22/Feb/17 1:42 PM;rickr;More than likely your fabric_ca is set up for TLS.
Check the testconfig.json make sure tls is disabled.
{
 ""tls_disable"":true,","22/Feb/17 1:46 PM;sodiaan;Where I can find testconfig.json ?
I'm using docker.",22/Feb/17 1:50 PM;rickr;Keith could you please update the README.md   with some instructions on disabling TLS if this is the issue.,"22/Feb/17 2:37 PM;smithbk;Rick, I would need some help in reproducing this, but first I have a recommendation for Di.

fabric-ca is in transition and we are breaking the server and client into 2 separate executables.
See https://jira.hyperledger.org/browse/FAB-2012
We are almost complete and I'll update the docs when done and the fabric-ca executable will
actually be going away.

So my recommendation is to use the fabric-ca-server command and see if this is still a problem.
It is very easy to use.

To install both the client and server: go get github.com/hyperledger/fabric-ca/cmd/...

To start the server:
    fabric-ca-server start -u admin:adminpw

Arg, there is a change set which is about to be merged which changes the ""-u"" option to ""-b"" for the bootstrap user,
so if ""-u"" doesn't work, try ""-b"" which is what it will eventually be.  This will create a default configuration fie for you
with the ""admin"" user and password ""adminpw"" as the bootstrap user.  It listens with TLS disabled by default.",12/Mar/17 8:39 PM;rickr;Can we close this I think it was user error .. I've not see any such issues.,18/Mar/17 3:53 PM;rickr;Closing as I asked 5 days ago on a response if we recreated.  I've not seen this reported [~sodiaan]  Please get the latest HLJSDK and Fabric Fabric_ca and see if you can reproduce and reopen this with detailed logs.,,,,,,,,,,,,,,,,,,
Make gossip consult MSP policies when authenticating peers in channels,FAB-2424,14987,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,yacovm,yacovm,22/Feb/17 12:54 PM,01/Mar/17 3:08 PM,26/Apr/18 6:50 AM,01/Mar/17 3:08 PM,,,,,,,,,,,,,,0,,,,,,,,,"Currently, in gossip - the peer checks decides whether a fellow peer is eligible for receiving blocks in a channel by checking if it is in the right organization by extracting its organization ID from the peer identity.

In some use-cases it is not enough, i.e: if all the peers use the same root CA.
Therefore, we need to also make the peer consult the policies that are in the configuration block of the channel, and check whether a channel readers policy asserts that the peer in question is eligible to read blocks.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-290,0|i00qzl:,,Sprint 12 - Gossip,,,,,,yacovm,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
HOW to enable TLS,FAB-2423,14986,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,zhangyijie,zhangyijie,22/Feb/17 9:31 AM,14/Apr/17 11:42 AM,26/Apr/18 6:50 AM,14/Apr/17 11:42 AM,,,,,,,v0.6,WON'T FIX,,fabric-docs,,,,0,,,,,,,,,"This is my configuration. How to set TLS? Is there more detail document ??   docker vm need open TLS ?
{code:java}
membersrvc.yaml:
  server:
        gomaxprocs: -1
        rootpath: ""/var/hyperledger/production""
        cadir: "".membersrvc""
        port: "":7054""

        # TLS certificate and key file paths
        tls:
            cert:
                file: ""/var/hyperledger/share/tlsca.crt""
            key:
                file: ""/var/hyperledger/share/tlsca.key""

security:
    # Either 256 or 384   (note: must be the exact same value as specified in the core.yaml file)
    level: 256

    # Either SHA2 or SHA3 (note: must be the exact same value as specified in the core.yaml file)
    hashAlgorithm: SHA3

    # The server host CN (Common Name) to be used (needs to match the TLS Server Certificate)
    serverhostoverride: OBC

    # Boolean (true/false) value indicating whether TLS should be used between the client and
    # the various CA services (ECA, TCA, TLSCA, ACA)
    tls_enabled: true

    # A PEM-encoded (X509 v3, Base64) certificate to use for establishing the TLS connection
    # between the client and the ACA service
    client:
       cert:
           file:_

core.yaml
    tls:
        enabled:  true
        cert:
            file: ""/var/hyperledger/share/tlsca.crt""
        key:
            file: ""/var/hyperledger/share/tlsca.key""
        # The server name use to verify the hostname returned by TLS handshake
        serverhostoverride: OBC

    # PKI member services properties
    pki:
        eca:
            paddr: localhost:7054
        tca:
            paddr: localhost:7054
        tlsca:
            paddr: localhost:7054
        tls:
            enabled: true
            rootcert:
                file: ""/var/hyperledger/share/tlsca.crt""
            # The server name use to verify the hostname returned by TLS handshake
            serverhostoverride: OBC

docker-compose.yml

membersrvc:
  image: hyperledger/fabric-membersrvc:x86_64-0.6.1-preview
  volumes:
  - /c/Users/xps15/share:/var/hyperledger/share
  - /c/Users/xps15/share/membersrvc.yaml:/opt/gopath/src/github.com/hyperledger/fabric/membersrvc/membersrvc.yaml
  ports:
    - ""7054:7054""
  command: membersrvc

vp0:
  image: hyperledger/fabric-peer:x86_64-0.6.1-preview
  volumes:
  - /var/run/docker.sock:/var/run/docker.sock
  - /c/Users/xps15/share:/var/hyperledger/share
  - /c/Users/xps15/share/core.yaml:/opt/gopath/src/github.com/hyperledger/fabric/peer/core.yaml
  ports:
    - ""7050:7050""
    - ""7051:7051""
    - ""7052:7052""
  environment:
    - CORE_PEER_ADDRESSAUTODETECT=true
    - CORE_VM_ENDPOINT=unix:///var/run/docker.sock
    - CORE_LOGGING_LEVEL=DEBUG
    - CORE_PEER_PKI_ECA_PADDR=membersrvc:7054
    - CORE_PEER_PKI_TCA_PADDR=membersrvc:7054
    - CORE_PEER_PKI_TLSCA_PADDR=membersrvc:7054
    - CORE_PEER_PKI_TLS_ENABLED=true
    - CORE_PEER_PKI_TLS_ROOTCERT_FILE=/var/hyperledger/share/tlsca.crt
    - CORE_PEER_PKI_TLS_SERVERHOSTOVERRIDE=OBC
    - CORE_SECURITY_ENABLED=true
    - CORE_SECURITY_PRIVACY=false
    - CORE_CHAINCODE_STARTUPTIMEOUT=600000
    - CORE_PEER_ID=vp0
    - CORE_SECURITY_ENROLLID=test_vp0
    - CORE_SECURITY_ENROLLSECRET=MwYpmSRjupbT
  command: sh  -c ""sleep 30; peer node start""
{code}
exception like:
33mvp0_1 |�[0m �[36m07:10:02.768 [crypto] Debugf -> DEBU 013�[0m [validator.test_vp0] Keystore opened at [/var/hyperledger/production/crypto/validator/test_vp0/ks]...done
�[33mvp0_1 |�[0m �[36m07:10:02.768 [crypto] Debug -> DEBU 014�[0m [validator.test_vp0] Registering node crypto engine...
�[33mvp0_1 |�[0m �[36m07:10:02.768 [crypto] Debug -> DEBU 015�[0m [validator.test_vp0] Initiliazing TLS...
�[33mvp0_1 |�[0m �[36m07:10:02.768 [crypto] Debugf -> DEBU 016�[0m [validator.test_vp0] Loading external certificate at [/var/hyperledger/share/tlsca.crt]...
�[33mvp0_1 |�[0m �[36m07:10:02.769 [crypto] Debug -> DEBU 017�[0m [validator.test_vp0] Initiliazing TLS...Done
�[33mvp0_1 |�[0m �[36m07:10:02.769 [crypto] Debug -> DEBU 018�[0m [validator.test_vp0] Getting ECA client...
�[33mvp0_1 |�[0m �[36m07:10:02.769 [crypto] Debugf -> DEBU 019�[0m [validator.test_vp0] Dial to addr:[membersrvc:7054], with serverName:[OBC]...
�[33mvp0_1 |�[0m �[36m07:10:02.769 [crypto] Debug -> DEBU 01a�[0m [validator.test_vp0] TLS enabled...
�[33mvp0_1 |�[0m �[36m07:10:02.769 [crypto] Debug -> DEBU 01b�[0m [validator.test_vp0] Getting ECA client...done
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 01c�[0m [validator.test_vp0] Failed requesting read certificate [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure].
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 01d�[0m [validator.test_vp0] Failed requesting ECA certificate [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure].
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 01e�[0m [validator.test_vp0] Failed getting ECA certificate [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure].
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 01f�[0m [validator.test_vp0] Failed retrieving ECA certs chain [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure].
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 020�[0m [validator.test_vp0] Failed registering node crypto engine [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure].
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 021�[0m [validator.test_vp0] Failed registering peer [test_vp0]: [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure]
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] Errorf -> ERRO 022�[0m [validator.test_vp0] Failed registering [test_vp0]: [rpc error: code = 14 desc = grpc: RPC failed fast due to transport failure]
�[33mvp0_1 |�[0m �[31m07:10:12.775 [crypto] RegisterValidator -> ERRO 023�[0m Failed registering validator [test_vp0] with name [test_vp0] [rpc error: code = 14 desc = grpc: RPC fai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00qzd:,,,,,,,,ChristopherFerris,zhangyijie,,,,,,,,,,,,,"14/Apr/17 11:41 AM;ChristopherFerris;[~zhangyijie] http://hyperledger-fabric.readthedocs.io/en/v0.6/Setup/TLSSetup.html is all there is in the docs. I suggest either upgrading to v1.0.0-alpha release or inquiring on rocket chat (https://chat.hyperledger.org). 

As for any prospect of updating the v0.6 documents, that release has been deprecated so that the community can focus on getting v1.0 released and solid as a rock. Sorry.",,,,,,,,,,,,,,,,,,,,,,,
Optimize the validate identity function in gossip mcs,FAB-2422,14985,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,angelo.decaro,elli-androulaki,elli-androulaki,22/Feb/17 7:40 AM,21/Apr/17 4:28 PM,26/Apr/18 6:50 AM,21/Apr/17 4:28 PM,,,,,,,v1.0.0,,,fabric-crypto,,,,0,,,,,,,,,"As discussed 
 - check first if the provided identity is a member of the local msp and if so, process it with that
 - iterate afterwards over the channels the peer has joined
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2420,0|hzzzbt:l0g,,,,,,,,Clayton Sims,elli-androulaki,yacovm,,,,,,,,,,,,"09/Apr/17 11:10 AM;yacovm;This is done, right?
https://github.com/hyperledger/fabric/blob/master/peer/gossip/mcs/mcs.go#L238-L298",12/Apr/17 6:02 PM;elli-androulaki;Let's check if this is still feasible to optimise this operation.,13/Apr/17 3:44 PM;Clayton Sims;Trying to assign to one single component.  so removed gossip.    if its better to assign to gossip go ahead.  ,,,,,,,,,,,,,,,,,,,,,
Modify GetPKIidOfCert function of gossip mcs.go to derive its value from hash(PK),FAB-2411,14974,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,angelo.decaro,elli-androulaki,elli-androulaki,21/Feb/17 5:20 PM,12/May/17 4:45 PM,26/Apr/18 6:50 AM,10/Apr/17 1:29 PM,,,,,,,v1.0.0,,,fabric-crypto,,,,0,,,,,,,,,"This item requires modification of the GetPKIidOfCert function within mcs implementation in gossip, such that we derive the PKIid of a cert from the PK of the certificate and not of the hash of the SerializedIdentity (protobuf marshalled version of Certificate). 

The reason is that protobuf marshalling may be leading to different marshalled versions of the same certificate, and thus leading to different PKIids for the same certificate. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00udk:x9,,Sprint 12 - Crypto,Sprint 13 - Crypto,Sprint 14 - Crypto,Sprint 15 - Crypto,Sprint 16 - Crypto,,elli-androulaki,yacovm,,,,,,,,,master,,,true,"26/Feb/17 8:24 PM;yacovm;So, if I could iterate over the MSP managers and the local MSP and try to *DeserializeIdentity* with any of them, I'd get back an *Identity* but that doesn't have a method for getting the public key.

# What if I add to the *Identity* interface a method that returns the PKI-ID? After all, the *msp.identity* actually has a field that's an x509 certificate. 
# I see that the BCCSP MSP and the *msp.identity* struct are very tightly coupled, and that the only implementation of an *Identity* is currently the *identity*, right? 
# I assume what I can do to be as forward compatible as possible, is to prepend some string that identifies an identity that is derived from an x509 certificate (or that identifies a BCCSP MSP?) and then hash the concatenated byte slice, to avoid collisions of identities that have the same public key but are used in different PKIs? 

[~ales] [~angelo.decaro] Your thoughts are also welcome.","09/Apr/17 2:04 PM;yacovm;This one is now merged.
Thanks for the job, Angelo.",,,,,,,,,,,,,,,,,,,,,,
Policy manager not respecting absolute paths,FAB-2408,14971,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,jyellick,jyellick,jyellick,21/Feb/17 4:40 PM,31/May/17 1:58 PM,26/Apr/18 6:50 AM,10/Mar/17 6:27 PM,,,,,,,,,,fabric-orderer,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00qwx:,,,,,,,,jyellick,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
SDK should not allow different hashing algo to be used other than SHA256 when communication with the orderer,FAB-2405,14968,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,jimthematrix,jimthematrix,21/Feb/17 2:58 PM,17/Mar/17 4:07 PM,26/Apr/18 6:50 AM,17/Mar/17 4:07 PM,,,,,,,WON'T FIX,,,fabric-sdk-node,,,,0,,,,,,,,,SHA256 is statically configured on the orderer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzbe:zzx,,Sprint 13 - SDK node,Sprint 14 - SDK node,,,,,jimthematrix,rickr,,,,,,,,,,,,,"09/Mar/17 6:26 PM;jimthematrix;[~jyellick], [~vpaprots@ca.ibm.com] I see that orderer.yaml now has a BCCSP section that specifies the hashing parameters among other things, that means it's configurable now right? ",17/Mar/17 4:07 PM;jimthematrix;closing as WONT-FIX per comment above,,,,,,,,,,,,,,,,,,,,,,
Change examples using SDK,FAB-2403,14966,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,rickr,sodiaan,sodiaan,21/Feb/17 2:19 PM,22/Feb/17 1:31 PM,26/Apr/18 6:50 AM,22/Feb/17 1:31 PM,,,,,,,v1.0.0,,,fabric-sdk-java,,,,0,,,,,,,,,"Change examples using SDK in README.md

To use the SDK in your code, simply add the generated JAR file in your classpath. Once the JAR file is in your classpath, create a chain instance to interact with the network.
 Chain testChain = new Chain(""chain1""); 

This is wrong, Chain don't have public constructor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00qvt:,,,,,,,,rickr,sodiaan,,,,,,,,,,,,,22/Feb/17 1:30 PM;rickr;I updated the README.md to address this. Thank you for your input.,,,,,,,,,,,,,,,,,,,,,,,
MalformedURLException: unknown protocol: grpc,FAB-2402,14965,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,sodiaan,sodiaan,21/Feb/17 1:55 PM,21/Feb/17 2:06 PM,26/Apr/18 6:50 AM,21/Feb/17 2:06 PM,,,,,,,v1.0.0,,,fabric-sdk-java,,,,0,,,,,,,,,"I got an MalformedURLException when running the code

HFClient hfclient = HFClient.createNewInstance();
Chain testChain = hfclient.newChain(""chain1"");
testChain.setMemberServicesUrl(""grpc://localhost:7054"", null);

MalformedURLException: unknown protocol: grpc

dependencies:
compile group: 'io.grpc', name: 'grpc-all', version: '1.1.2'
compile group: 'org.hyperledger.fabric-sdk-java', name: 'fabric-sdk-java', version: '1.0-SNAPSHOT'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00qvl:,,,,,,,,rickr,sodiaan,,,,,,,,,,,,,"21/Feb/17 2:06 PM;rickr;Members services does not use grpc . It uses https.
See the fabric-sdk-java/src/test/java/org/hyperledger/fabric/sdk/End2endIT.java  for a full example of deploying, invoking and installing chain code.",,,,,,,,,,,,,,,,,,,,,,,
