Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Invoke by clark start timeout when I add/remove member from channel,FAB-7723,26787,Bug,Monitor / On Hold,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,wisam.mohammed,wisam.mohammed,1/12/2018 21:04,3/12/2018 18:25,4/26/2018 6:50,2/19/2018 21:43,,,,,,,fabric-peer,,,,0,,,,,"*Description*
Invoke by clark start time out when I remove /add member from channel, and I have to restart peer in order back normal.

*Steps to reproduce the behaviour*
1- create channel via UI on clark
2-join peer >> clark
3- do instantiate on new channel {{ch1}} on clark
4- do some invoke on one peer on clark
5- stop invoke on clark
6- edit channel on clark, by add Amelia to clark channel {{ch1}}
7- Go to Amila and join here peer to channel {{ch1}} via UI
8- Amila now have same transaction clack have on {{ch1}} via UI
9- resume invoke by clark ... 1000 invoke
10. stop invoke on clark
11. edit channel on clark and approve it ... edit by remove Amila
12. invoke again on clark .. 1000 invoke
start time out after 32 invoke
*Expected behaviour*
Invoke should keep going
*Actual behaviour*
invoke timeout

 ",,,,,,,,,,,,,12/Jan/18 9:06 PM;wisam.mohammed;d8247ae2a4154cb2aa7ea99ccc64f0a4_Logs.zip;https://jira.hyperledger.org/secure/attachment/14145/d8247ae2a4154cb2aa7ea99ccc64f0a4_Logs.zip,16/Feb/18 9:48 PM;wisam.mohammed;img2.png;https://jira.hyperledger.org/secure/attachment/14633/img2.png,,,,,,,,,,,,0|i020ot:,,,,,,denyeart,harrisob@us.ibm.com,harsha544,kchristidis,varadatibm,wisam.mohammed,,,,,,12/Jan/18 9:06 PM;wisam.mohammed;Attached in zip file,08/Feb/18 8:10 PM;kchristidis;I'm not sure I follow what goes on here. Could you take another crack at describing what goes on here?,09/Feb/18 4:15 PM;Clayton Sims;changing state to Monitor / Hold to indicate we are waiting on originator.   [~wisam.mohammed] ,"09/Feb/18 4:57 PM;wisam.mohammed;[~kchristidis] the issue here when you have channel and two member in it and 1st member running invoke using her/his peer.

When 2nd member decided to leave the channel and leave the 1st member alone in that channel. Then any invoke by 1st member will timeout after period of time. 

Please let me know if have question.

 

Thanks",09/Feb/18 5:00 PM;kchristidis;What is the endorsement policy for the chaincode in question?,"09/Feb/18 6:12 PM;varadatibm;Hi Kostas,

I don't think there is any endorsement policies passed when instantiating... If there is nothing passed, I believe SDK sets it to be 'one of the orgs from the channel participants need to endorse' ","09/Feb/18 6:20 PM;wisam.mohammed;Yes, [~varadatibm] know more endorsement policy. Thanks [~varadatibm]",13/Feb/18 6:25 PM;Clayton Sims;What is next step here?,14/Feb/18 5:07 PM;denyeart;[~kchristidis] Could you try it out and assess if there is a defect here?,14/Feb/18 5:30 PM;kchristidis;Sure thing. Will have a look this week.,"16/Feb/18 8:24 PM;kchristidis;Went through every step of this using the CLI commands and reproduced the scenario locally.

Could not reproduce the bug.

You are referring to a UI - what UI would be this?

 ","16/Feb/18 9:49 PM;wisam.mohammed;IBM Blockchain Platform UI

!img2.png!","17/Feb/18 12:31 AM;kchristidis;Let's do this right, given that this is not the bug tracker for IBM Blockchain. Here's a few questions:
 # What version of Fabric is this running on?
 # In Step 6, is it possible that the SDK is modifying the endorsement policy of the chaincodes in the channel? ([~harrisob@us.ibm.com]? Seems unlikely.)
 # You also note some numbers in the original description. e.g. ""1000 invoke"", ""32 invoke"". What are these exactly? Numbers of invocation? If so, can you please attempt to trim this problem to the smallest possible set of steps? (Think MWE if this were a StackOverflow thread.) For instance, in Step 12, does the first invocation work?","17/Feb/18 2:53 PM;harrisob@us.ibm.com;NodeSDK does not inject or modify endorsement policies, if the application does not include one, then the system default is used.

 

When the second peer is added to the channel, is a new organization also added to the channel configuration ?? The system default endorsement policy requires endorsements from a majority of organizations... in this case that would mean both peers. Then when the peer is removed from the channel, is the channel configuration again updated to remove the organization ?? It looks like the organization is still defined the channel configuration as the commit of the invokes are not completing. This could be due to not getting a majority of endorsements from organizations defined on the channel ???","18/Feb/18 3:49 AM;kchristidis;{quote}Then when the peer is removed from the channel, is the channel configuration again updated to remove the organization ??
{quote}
(This sounds like a good guess.)","18/Feb/18 2:42 PM;denyeart;Ok, it sounds like no bug in base Fabric.

[~wisam.mohammed] could you close this from Fabric Jira, and open a ticket against the IBM Blockchain service?","19/Feb/18 9:58 PM;wisam.mohammed;[~kchristidis] [~harrisob@us.ibm.com] [~denyeart] Thanks for looking on that. Fabric/ Fabric Ca V1.0.3

Fabric [https://github.com/hyperledger/fabric/releases/tag/v1.0.3]

[https://github.com/hyperledger/fabric-ca/releases/tag/v1.0.3] 

And yes, ""1000 invoke"" mean number of invocation.

In Step 6, if the SDK is modifying the endorsement policy or not. [~varadatibm]Know more about it, I believe yes. 

And yes, in Step 12, the first invocation works.

 

 

I will closed this issue and open on UI repo. Thanks

 

 ","21/Feb/18 4:43 PM;harrisob@us.ibm.com;Varad and I have discussed and he says this is on 1.0 and I have looked into the code and see that in that release NodeSDK did inject an endorsing policy if the application did not provide one. The NodeSDK builds a policy to include all the current orgs  in a '1 of [org_1, ...org_n]' So is it possible that once the org is removed from the channel that the endorsement policy fails due to a missing org ?","12/Mar/18 2:53 PM;wisam.mohammed;Based on discussion between Varad and Bret, this issue need to be reopen. I will reopen it. ",12/Mar/18 3:09 PM;kchristidis;Alright. What is the rationale behind re-opening this?,"12/Mar/18 4:42 PM;varadatibm;[~kchristidis] 

Based on SDK, the default endorsement policy is '1 of n' based on the orgs at the time of chaincode instantiation. (Bret's comment above)

When an org is removed from a channel, we need to update the endorsement policy by submitting a new chaincode instantiation? Perhaps, Wisam can experiment this and see if that fixes it.

I am not sure if I can explain why it works for about 30 invokes before it times out?","12/Mar/18 6:25 PM;harrisob@us.ibm.com;I assume there is an application timeout waiting for an event listener to signal the completion of a transaction (which means the peer has committed the transaction), since the endorsement policy is not meet, the commit will never happen. There is no mechanism in the two phase fabric process  of endorsing a  transaction proposal (maybe what you might call half of an invoke) and the submitting of those endorsed transactions to the orderer (maybe what you are thinking is the other half of the invoke) to know if the whole action was actually successful. The response from the orderer when submitting, only indicates that it has accepted the transaction to be processed. Therefore the application will continue to perform ""invokes"" until it receives the timeout. This will indicate that a commit has not happened for the transaction on the peer and I believe the application logic will now think that the first ""invoke"" has failed and stop invoking, however before the timeout the application continues to invoke."
"if FABRIC_CFG_PATH set to non existant directory, peer panics",FAB-7769,26875,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,john.d.sheehan,john.d.sheehan,john.d.sheehan,1/17/2018 12:36,1/30/2018 18:11,4/26/2018 6:50,1/30/2018 18:11,,,,,,,fabric-peer,,,,0,,,,,"to reproduce

```
 go get github.com/hyperledger/fabric
 cd $\{GOPATH}/src/github.com/hyperledger/fabric/peer
 go build
 export FABRIC_CFG_PATH=/asdfasd
 ./peer

./peer
 panic: Fatal error when initializing core config : error when reading core config file: Unsupported Config Type """"

goroutine 1 [running]:
 main.main()
 /home/vagrant/golang/src/github.com/hyperledger/fabric/peer/main.go:77 +0x7b6
 ```",all,,,,,,,,,,,,,,,,,,,,,,,,,0|i02159:,,,,,,john.d.sheehan,mastersingh24,wlahti,,,,,master,,,TRUE,21/Jan/18 9:39 AM;mastersingh24;[~john.d.sheehan] - What do you think should happen here?,21/Jan/18 10:19 AM;mastersingh24;https://gerrit.hyperledger.org/r/16897,30/Jan/18 6:11 PM;wlahti;The above CR was merged on January 24. Marking this JIRA complete.,,,,,,,,,,,,,,,,,,,
Peer chain can't restart due to some configuration block issue,FAB-7801,26927,Bug,Monitor / On Hold,FAB,Fabric,software,ChristopherFerris,,,Low,,,mffrench,mffrench,1/18/2018 6:02,2/15/2018 11:32,4/26/2018 6:50,,v1.0.0-alpha2,,,,Future,,fabric-peer,,,,0,,,,," 

Hi,

after the patch campaign on our Hyperledger Fabric cluster, all the VMs of the cluster has been restarted. 

After restart, all the containers were stopped an so we restarted the all stack : 
 * \{Hyperledger Fabric CA and Orderer Solo} on a dedicated consortium VM,
 * \{HF Peers, CouchDB and application} on 3 other network participant VMs. 

At this first restart everything was looking OK but there was a lot of logs history and so to troubleshoot easily another application issue on a a dedicated participan VMs, we decided to restart again the docker stack but this time by removing and recreating the docker containers to remove the past log (*). 

Unfortunately when restarting the Hyperledger stack on this particular node we hit an issue on one of our peers which prevent us to restart our chain on this peer and particularly read the MSP from the configuration block (see logs bellow). 

I'm currently looking some way to restart the peer and I see one by removing the peer data and resync the empty peer with the two other still running on our network. Do you see other cheaper way ? Do you have some advice to help us ? And finally do you have some idea on what could be the root cause of this issue ? 

Thank you
{code:java}
2017-06-19 23:26:01.361 UTC [ledgermgmt] OpenLedger -> INFO 1c9 Opened ledger with id = elixir-channel
2017-06-19 23:26:01.361 UTC [peer] getCurrConfigBlockFromLedger -> DEBU 1ca Getting config block
2017-06-19 23:26:01.361 UTC [fsblkstorage] retrieveBlockByNumber -> DEBU 1cb retrieveBlockByNumber() - blockNum = [26858]
2017-06-19 23:26:01.361 UTC [fsblkstorage] newBlockfileStream -> DEBU 1cc newBlockfileStream(): filePath=[/var/hyperledger/production/ledgersData/chains/chains/elixir-channel/blockfile_001449], startOffset=[10192565]
2017-06-19 23:26:01.361 UTC [fsblkstorage] nextBlockBytesAndPlacementInfo -> DEBU 1cd Remaining bytes=[5377], Going to peek [8] bytes
2017-06-19 23:26:01.361 UTC [fsblkstorage] nextBlockBytesAndPlacementInfo -> DEBU 1ce Returning blockbytes - length=[5375], placementInfo={fileNum=[1449], startOffset=[10192565], bytesOffset=[10192567]}
2017-06-19 23:26:01.361 UTC [fsblkstorage] retrieveBlockByNumber -> DEBU 1cf retrieveBlockByNumber() - blockNum = [26847]
2017-06-19 23:26:01.361 UTC [fsblkstorage] newBlockfileStream -> DEBU 1d0 newBlockfileStream(): filePath=[/var/hyperledger/production/ledgersData/chains/chains/elixir-channel/blockfile_001449], startOffset=[10025675]
2017-06-19 23:26:01.362 UTC [fsblkstorage] nextBlockBytesAndPlacementInfo -> DEBU 1d1 Remaining bytes=[172267], Going to peek [8] bytes
2017-06-19 23:26:01.362 UTC [fsblkstorage] nextBlockBytesAndPlacementInfo -> DEBU 1d2 Returning blockbytes - length=[5546], placementInfo={fileNum=[1449], startOffset=[10025675], bytesOffset=[10025677]}
2017-06-19 23:26:01.362 UTC [peer] getCurrConfigBlockFromLedger -> DEBU 1d3 Got config block[26847]
2017-06-19 23:26:01.362 UTC [common/config] NewStandardValues -> DEBU 1d4 Initializing protos for *config.ChannelProtos
2017-06-19 23:26:01.362 UTC [common/config] initializeProtosStruct -> DEBU 1d5 Processing field: HashingAlgorithm
2017-06-19 23:26:01.363 UTC [common/config] initializeProtosStruct -> DEBU 1d6 Processing field: BlockDataHashingStructure
2017-06-19 23:26:01.363 UTC [common/config] initializeProtosStruct -> DEBU 1d7 Processing field: OrdererAddresses
2017-06-19 23:26:01.363 UTC [common/config] initializeProtosStruct -> DEBU 1d8 Processing field: Consortium
2017-06-19 23:26:01.363 UTC [peer] Initialize -> WARN 1d9 Failed to load chain elixir-channel(Bad envelope: Not a tx of type CONFIG)
{code}
(*) : peers data and conf are configured to be on the host  through dedicated volume ; this procedure has been used a lot of time last years (at least 48 time as we did 48 chaincode upgrade).

 ",,,,,,,,,,,,,,,,,,,,,,,,,,0|i021d1:,,,,,,denyeart,jeffgarratt,mastersingh24,mffrench,mplisov,muralisr,,,,,,"18/Jan/18 3:09 PM;jeffgarratt;[~mffrench] to give yourself some confidence you could create a new peer and join the channel and verify that it syncs up.  Once it does, you could consider backing up your existing peer's file store (while it is stopped) and removing the directory from the chain file store, which in your case appears to be...

 <file_store>/ledgersData/chains/chains/elixir-channel

Then have that peer join the channel once more and verify it also syncs up.",20/Jan/18 10:21 PM;mastersingh24;[~mffrench] - Which version are you starting with and to which version are you trying to upgrade?  If you are actually on v1.0.0-alpha2 and trying to upgrade to v1.0.x there is no guarantee that this is going to work as it is not even supported,"21/Jan/18 10:41 PM;mffrench;[~jeffgarratt] and [~mastersingh24] : first thank you both for your answers.

I've been able to restart a fresh peer and ledger resync from other peers has been successful. So I'm downgrading the priority of this issue to low as this is an issue on old Hyperledger Fabric and this is no more a prod issue.

[~mastersingh24] : I didn't try to upgrade the peer but I was just restarting it.

I kept the data from the older peer instance with the ledger with I can reproduce the issue. I would like to try understand what happened even if this is in a old version. [~jeffgarratt] gave me some test todo to get the config block with some `peer fetch...` command but I'm not sure of my test as the fetch I did was against the orderer and not the local peer ledger as the peer is trying to do before it raise me this error. If you have other idea please let me know.

Best,

 ","21/Jan/18 10:57 PM;mffrench;Some other questions just in case you may have some answers :

+ Is there a HLF Peer backup best practices ? I think this could be interesting to reduce resync time but I'm not sure if such solution is supported and how.
+ Can you tell me since HLF version upgrade are supported ? I guess upgrade from v1.0 to v1.1 will be supported ? Is there some operation best practices to follow for such operation ?

Thank you again !","26/Jan/18 8:13 AM;mffrench;Hi,

as I get the issue back on another peer on the network, I raise the issue again to high. If we can have some help to understand the root cause of this chain configuration problem on the peer that would be great.

Best,","26/Jan/18 3:13 PM;muralisr;The error `Failed to load chain elixir-channel(Bad envelope: Not a tx of type CONFIG)` comes when loading in the ledger for the channel at peer startup time. 

I wonder if the hard stopping of the peers causes the ledger to get out of whack ? Can you provide the exact steps to recreate this issue [~mffrench]","26/Jan/18 3:34 PM;mffrench;Hi Srinivasan,

I've the impression this issue is related to this one : https://jira.hyperledger.org/browse/FAB-5286. After the VMs patching campaign we also had to restart the orderer (which is a solo orderer in our conf as we didn't get enough resources to deploy a kafka one) and this issue could be a side effect of FAB-5286.

It's currently hard for me to provide step to reproduce the error as I reproduce it with the client ledger and I can't it share publicly. Also I'm not sure yet on how to reproduce it from scratch. However I think I may have some idea on that and I will try to give you some env for that next week.

Best,","26/Jan/18 4:21 PM;muralisr;Thank you for the quick response [~mffrench].

One thing would be interesting to do a high level comparison of at the ledger files on working peers with the non-working peer to if we can spot anything odd.",26/Jan/18 5:09 PM;mffrench;Is there some tool for such comparison ? I mean the ledger has more than 25000 blocks and I don't know yet how to do such thing efficiently...,"27/Jan/18 2:49 PM;muralisr;[~mffrench] Right. No, I just meant looking at the ledger externally (file sizes for example) first to see if you could spot some anomalies. But looking at the logs it did find the current config block (just couldn't locate the config TX in there for some reason), so please ignore that suggestion.","30/Jan/18 2:47 AM;denyeart;[~mffrench] Can you provide the same debug snippet for a peer that can start and a peer that cannot start.  We'll want to compare the block info in debug for the last config block, which in your case is block [26847].  For both peers, please ensure the config block number is the same for both peers, in the debug message:
""Got config block""",07/Feb/18 5:26 PM;Clayton Sims;Move to monitor / hold.  waiting on info from originator.,"15/Feb/18 10:32 AM;mffrench;Hi,

I tried to reproduce the issue on 1.0.1 but I failed. On the other hands we were able to resync the peers on the network. So I will minor the issue severity again.

Best,","15/Feb/18 11:32 AM;denyeart;Ok, let's leave this open for now with a Future fix date so that we can investigate potential causes in more detail after 1.1.

[~dongming] I know you are adding additional peer crash and recovery system tests.  Here is one problem that you can try to model as part of those tests.",,,,,,,,
client.config generated by cluster example contains the wrong identity keys,FAB-7888,27051,Bug,Duplicate,FAB,Fabric,software,ChristopherFerris,,,Low,Done,schristie,schristie,schristie,1/24/2018 21:07,4/21/2018 12:27,4/26/2018 6:50,4/20/2018 22:09,,,,,v1.2,,fabric-examples,,,,0,,,,,"Running 'make' in examples/cluster, followed by 'build/compose-up.sh' generates a client.config file with all of the relevant keys for interacting with the generated docker-compose deployment. Specifically, it generates an identity [Admin@org1.net|mailto:Admin@org1.net] for use when interacting with chaincode deployed on the network.

However, instead of using the keys generated for that identity, it uses the server certs.

compose-up.sh needs to be fixed to use the correct keys for the [Admin@org1.net|mailto:Admin@org1.net] identity.

 

Changeset with possible fix: [https://gerrit.hyperledger.org/r/#/c/17925/]

This patch is untested, because I can't get the cluster example to work on the master branch; it worked in a previous version however.

May also be resolved by: [https://gerrit.hyperledger.org/r/#/c/12159/]

However, inspecting the relevant artifacts reveals that they have different contents, so they are not equivalent solutions.",,18000,3600,,0%,18000,3600,,,,,,,,,,,,,,,,,,,0|i02225:,,,,,,denyeart,greg.haskins,schristie,,,,,,,,,13/Feb/18 6:59 PM;Clayton Sims;Do you have an eta to fix this?,"13/Feb/18 10:32 PM;schristie;Sorry. I have a simple patch that fixes this, but I didn't push it because I was unable to test against the latest head last time I tried.

I'll try again this week, and maybe push the patch anyway.","20/Feb/18 8:40 PM;denyeart;[~greg.haskins] Could you look at the two changesets in the Description?  Which direction do you think we should go with this one?

If not settled this week we'll defer to 1.2.","20/Feb/18 9:05 PM;greg.haskins;I believe this is already fixed in the (yet to be merged) CR 12159

https://gerrit.hyperledger.org/r/c/12159/",,,,,,,,,,,,,,,,,,
fabric-ca swagger doc should use recursive reference for affiliation info,FAB-7894,27058,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,skarim,smithbk,smithbk,1/25/2018 13:19,2/9/2018 11:44,4/26/2018 6:50,2/9/2018 11:44,,,,,v1.1,,fabric-ca,,,,0,,,,,"Since affiliation responses are recursive, the swagger doc needs to use references.
This is also useful to remove duplication and so the swagger doc could be cleaned up considerably.

See http://docs.reprezen.com/swagger_normalizer/#recursive-references and https://swagger.io/docs/specification/using-ref/ as a start",,,,,,,,,,,,,,,,,,,,,,,,,,0|i0223p:,,,,,,skarim,smithbk,,,,,,master,,,TRUE,05/Feb/18 3:39 PM;Clayton Sims;eta 2/5,"05/Feb/18 10:36 PM;skarim;https://gerrit.hyperledger.org/r/#/c/17563/

I think there is an issue with Swagger editor, it does not resolve recursive references correctly and displays 'undefined'.

https://stackoverflow.com/questions/36866035/how-to-refer-to-enclosing-type-definition-recursively-in-yaml-swagger-io",,,,,,,,,,,,,,,,,,,,
Directory not clean after tests have run,FAB-7938,27116,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,david_dornseifer,david_dornseifer,david_dornseifer,1/27/2018 10:21,1/30/2018 7:07,4/26/2018 6:50,1/30/2018 7:07,,,,,,,fabric-sdk-py,,,,0,,,,,After make check has been executed the directory is not clean any more ,,,,,,,,,,,,,,,,,,,,,,,,,,0|i022g5:,,,,,,david_dornseifer,,,,,,,master,,,TRUE,27/Jan/18 10:33 AM;david_dornseifer;https://gerrit.hyperledger.org/r/17267,,,,,,,,,,,,,,,,,,,,,
Returned err of gzip/tar writer should be checked,FAB-7963,27230,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,mastersingh24,guoger,guoger,1/30/2018 3:58,4/12/2018 13:00,4/26/2018 6:50,4/12/2018 13:00,,,,,v1.2,,fabric-peer,,,,0,,,,,"Returned err of gzip/tar should be checked in order to fail early. e.g. https://github.com/hyperledger/fabric/blob/master/core/chaincode/platforms/golang/platform.go#L469-L470

Not sure if we should use {{defer}} here though..",,,,,,,,,,,,,,,,,,,,,,,,,,0|i022od:,,,,,,denyeart,greg.haskins,guoger,mastersingh24,,,,master,,,TRUE,30/Jan/18 3:59 AM;guoger;cc [~greg.haskins],"30/Jan/18 12:33 PM;greg.haskins;Agree with error checking.  I think the defer is not strictly necessary though.  IIUC, the .Close() only forces the rendering of the data to the buffer, which is only needed in the success path.  The resources themselves (the buffer and the writers) will be garbage collected either way.","14/Feb/18 4:26 PM;denyeart;[~greg.haskins] Will you be able to get to this within a week?  If not, please either unassign yourself or move to Fix Version v1.2.",07/Apr/18 4:08 PM;mastersingh24;https://gerrit.hyperledger.org/r/20287,,,,,,,,,,,,,,,,,,
"failed node SDK test in vagrant, node version is not passed along to PATH",FAB-7982,27260,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Low,,scottz,scottz,scottz,1/31/2018 3:07,3/16/2018 16:46,4/26/2018 6:50,,,,,,v1.2,,fabric-build,fabric-quality,,,0,,,,," 

 {{Project is now using node v8.9.1 (npm v5.5.1)}}
 {{npm version ======>}}
 {{5.5.1}}
 {{node version =======>}}
 {{v8.9.1}}

 

After ""make pre-setup"" in fabric-test, inside Vagrant, I see it says node version is 8.9.1, but not when I see it.
 {{ubuntu@hyperledger-devenv:30dd68f:/opt/gopath/src/github.com/hyperledger/fabric-test$ npm --version}}
 {{5.3.0}}
 {{ubuntu@hyperledger-devenv:30dd68f:/opt/gopath/src/github.com/hyperledger/fabric-test$ node --version}}
 {{v8.4.0}}

 

It is not set in env after installation script is done. In vagrant file install_nvm.sh we set the version to 8.4

[https://github.com/hyperledger/fabric/blob/master/devenv/install_nvm.sh]

It seems we need to push a new vagrant image.

It also seems the fabric-test/pre_setup.sh script (which executes: nvm install 8.9.4) seems to be effective ONLY WITHIN that shell and not in the environment calling that script, so we may have to execute those commands from the pre_setup.sh script to execute them inline in the Makefile when building target pre-setup.",,,,,,,,,,,,,,,,,,,,,,,,,,0|i022vp:,,,,,,scottz,,,,,,,,,,,"27/Feb/18 12:53 AM;scottz;A workaround exists - to execute the installation steps on command line instead of ""make pre-setup"". Moving to lower priority.",,,,,,,,,,,,,,,,,,,,,
Restore properly the log backend in gossip state transfer test,FAB-8065,27418,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,yacovm,yacovm,yacovm,2/5/2018 13:23,2/6/2018 6:55,4/26/2018 6:50,2/6/2018 6:55,,,,,,,fabric-gossip,,,,0,,,,,"The test TestHaltChainProcessing attempts to restore the log backend by overriding the logger, but the function that creates the logger, caches previous logger instances by the package name. 

Even though we can override the logger instance with a new package name, it is probably more correct to overwrite the backend itself. ",,,,,,,,,,,,,,,,,,,,,,,,,,0|i023ot:,,,,,,yacovm,,,,,,,master,,,TRUE,05/Feb/18 1:25 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/17529/,,,,,,,,,,,,,,,,,,,,,
If Docker fails make all will fail until manually resolved,FAB-8197,27606,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Low,,,satchell,satchell,2/10/2018 7:49,4/10/2018 12:34,4/26/2018 6:50,,,,,,v1.2,,fabric-build,,,,0,,,,,"A new developer checking out fabric code for the first time will follow the documentation at [http://hyperledger-fabric.readthedocs.io/en/release/dev-setup/build.html]

If they have not configured their user into the Docker group, the build will fail:
{code:java}
~/go/src/github.com/hyperledger/fabric$ make all
docker: Got permission denied while trying to connect to the Docker daemon socket at unix:///var/run/docker.sock: Post http://%2Fvar%2Frun%2Fdocker.sock/v1.26/containers/create: dial unix /var/run/docker.sock: connect: permission denied.
See 'docker run --help'.
Makefile:245: recipe for target 'build/docker/gotools' failed
make: *** [build/docker/gotools] Error 126
{code}
Once this occurs, even after Docker is fixed, make all will continue to fail indefinitely with the following error:
{code:java}
~/go/src/github.com/hyperledger/fabric$ cp build/docker/gotools/bin/protoc-gen-go 
build/bin/chaintool build/goshim.tar.bz2 build/image/ccenv/payload
cp: cannot stat 'build/docker/gotools/bin/protoc-gen-go': No such file or directory
Makefile:263: recipe for target 'build/image/ccenv/payload' failed
make: *** [build/image/ccenv/payload] Error 1
{code}
The user must manually delete the gotools folder and then run make all in order for it to be successful:
{code:java}
~/go/src/github.com/hyperledger/fabric$ rm -rf build/docker/gotools/
~/go/src/github.com/hyperledger/fabric$ make all
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,0|i024r1:,,,,,,ChristopherFerris,denyeart,mastersingh24,sanchezl,satchell,sykesm,,,,,,14/Feb/18 7:10 PM;denyeart;[~lehors] This looks like the kind of challenge you enjoy... could you take a look and provide your opinion?,"15/Feb/18 9:09 PM;sanchezl;[~satchell], {{make clean all}} would be appropriate in this situation.

It will never be perfect, as the Docker images are not files that {{make}} can examine the existence of or the timestamp on. There are many situations where you will just have to clean the build/images directory to get your docker image rebuilt.

[~lehors]: That said, we might be able improve this a little bit based on the pattern we use for the other docker images:
 # Move the recipe of the {{build/docker/gotools}} target to a new {{build/docker/gotools/$(DUMMY)}} target and add a final {{touch @}} command to the recipe.
 # Make the {{build/docker/gotools}} target depend on the {{build/docker/gotools/$(DUMMY)}} and leave it's recipe empty.

With these changes, the {{build/docker/gotools/$(DUMMY)}} file would of not been created the first time around and the {{build/docker/gotools/$(DUMMY)}} target would of been re-run to create the gotools image.",22/Feb/18 7:10 PM;mastersingh24;Note:  we need to cleanup the overall make process in any case ... we should be able to use the go toolchain locally to build things.,05/Apr/18 8:33 PM;ChristopherFerris;[~sykesm] did your cleanup of gotools address this?,"10/Apr/18 12:32 PM;sykesm;[~ChristopherFerris] I don't believe any of my changes would resolve this as I didn't change the docker targets. The go tools are built for native execution and, to preserve previous behavior, installed to $GOPATH/bin (with all of the assumptions around a single path element in GOPATH). The changes simply moved the makefile for the tools out of the gotools directory and to a top level file that's included into the Makefile.

I agree with [~mastersingh24] that we should do what we can to move to a local build process that is less dependent on docker.",,,,,,,,,,,,,,,,,
